Date,#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/ 1M pop,Population,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop,Continent
2022-05-10,29.0,Czechia,3914115,751.0,40235.0,2.0,3866735.0,583.0,7145.0,14.0,364245.0,3744.0,55288462.0,5145114.0,10745818.0,3.0,267.0,0.0,70.0,0.2,665.0,Europe
2022-05-10,30.0,South Africa,3862165,10017.0,100609.0,50.0,3691684.0,6488.0,69872.0,192.0,63632.0,1658.0,24765642.0,408033.0,60695163.0,16.0,603.0,2.0,165.0,0.8,1151.0,Africa
2022-05-10,31.0,Canada,3802456,3096.0,39906.0,52.0,3492607.0,3040.0,269943.0,423.0,99137.0,1040.0,61306765.0,1598372.0,38355755.0,10.0,961.0,1.0,81.0,1.0,7038.0,North America
2022-05-10,32.0,Philippines,3687428,109.0,60439.0,,3623661.0,418.0,3328.0,289.0,32840.0,538.0,29763475.0,265070.0,112285313.0,30.0,1858.0,4.0,1.0,,30.0,Asia
2022-05-10,33.0,Switzerland,3631881,,13882.0,,3530433.0,,87566.0,78.0,414032.0,1583.0,20927607.0,2385733.0,8771982.0,2.0,632.0,0.0,,,9982.0,Europe
2022-05-10,34.0,Chile,3586522,3295.0,57667.0,25.0,3456649.0,2268.0,72206.0,173.0,184677.0,2969.0,37466692.0,1929237.0,19420468.0,5.0,337.0,1.0,170.0,1.0,3718.0,South America
2022-05-10,35.0,Peru,3570801,462.0,212979.0,11.0,,,,254.0,105572.0,6297.0,30134364.0,890931.0,33823445.0,9.0,159.0,1.0,14.0,0.3,48403.0,South America
2022-05-10,36.0,Greece,3375812,4761.0,29471.0,27.0,3287981.0,7436.0,58360.0,185.0,326839.0,2853.0,80897630.0,7832338.0,10328670.0,3.0,350.0,0.0,461.0,3.0,5650.0,Europe
2022-05-10,37.0,Denmark,2974417,766.0,6260.0,8.0,2957085.0,1091.0,11072.0,6.0,510190.0,1074.0,127315788.0,21837956.0,5830023.0,2.0,931.0,0.0,131.0,1.0,1899.0,Europe
2022-05-10,38.0,Romania,2901080,705.0,65589.0,7.0,,,,144.0,152690.0,3452.0,22891994.0,1204855.0,18999797.0,7.0,290.0,1.0,37.0,0.4,12044.0,Europe
