#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/ 1M pop,Population,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
,World,528842985,632800.0,6303784.0,1638.0,499254124.0,832145.0,23285077.0,38001.0,67846.0,808.7,,,,,,,,,
1.0,USA,85241016,75633.0,1029524.0,324.0,81764911.0,63390.0,2446581.0,2327.0,254701.0,3076.0,1022984286.0,3056690.0,334670557.0,4.0,325.0,0.0,226.0,1.0,7310.0
2.0,India,43142192,2124.0,524507.0,17.0,42602714.0,1977.0,14971.0,698.0,30692.0,373.0,847092226.0,602637.0,1405643436.0,33.0,2680.0,2.0,2.0,0.01,11.0
3.0,Brazil,30836815,32820.0,665955.0,228.0,29885580.0,33663.0,285280.0,8318.0,143151.0,3092.0,63776166.0,296062.0,215414723.0,7.0,323.0,3.0,152.0,1.0,1324.0
4.0,France,29391365,32029.0,148005.0,88.0,28657773.0,47843.0,585587.0,1173.0,448405.0,2258.0,271490188.0,4141952.0,65546437.0,2.0,443.0,0.0,489.0,1.0,8934.0
5.0,Germany,26157826,54198.0,138879.0,141.0,24832300.0,123700.0,1186647.0,944.0,310331.0,1648.0,122332384.0,1451324.0,84290181.0,3.0,607.0,1.0,643.0,2.0,14078.0
6.0,UK,22271122,6442.0,178221.0,136.0,21863906.0,27590.0,228995.0,188.0,324842.0,2599.0,522526476.0,7621460.0,68559889.0,3.0,385.0,0.0,94.0,2.0,3340.0
7.0,Russia,18301393,3785.0,378516.0,90.0,17700372.0,6352.0,222505.0,2300.0,125307.0,2592.0,273400000.0,1871927.0,146052700.0,8.0,386.0,1.0,26.0,0.6,1523.0
8.0,S. Korea,17993985,26313.0,24006.0,19.0,17440795.0,26692.0,529184.0,232.0,350401.0,467.0,15804065.0,307756.0,51352557.0,3.0,2139.0,3.0,512.0,0.4,10305.0
9.0,Italy,17288287,29875.0,166127.0,95.0,16310440.0,51946.0,811720.0,290.0,286734.0,2755.0,219795876.0,3645411.0,60293846.0,3.0,363.0,0.0,495.0,2.0,13463.0
10.0,Turkey,15064507,1304.0,98935.0,6.0,14962195.0,1184.0,3377.0,975.0,175059.0,1150.0,161801143.0,1880227.0,86054032.0,6.0,870.0,1.0,15.0,0.07,39.0
11.0,Spain,12280345,10568.0,106105.0,38.0,11679931.0,16343.0,494309.0,339.0,262462.0,2268.0,471036328.0,10067246.0,46788996.0,4.0,441.0,0.0,226.0,0.8,10565.0
12.0,Vietnam,10711389,1323.0,43076.0,,9412403.0,6495.0,1255910.0,216.0,108203.0,435.0,85814684.0,866871.0,98993626.0,9.0,2298.0,1.0,13.0,,12687.0
13.0,Argentina,9178795,,128825.0,,8895999.0,,153971.0,300.0,199628.0,2802.0,35716069.0,776783.0,45979494.0,5.0,357.0,1.0,,,3349.0
14.0,Japan,8641599,22916.0,30337.0,30.0,8278412.0,35149.0,332850.0,100.0,68723.0,241.0,51636619.0,410646.0,125744956.0,15.0,4145.0,2.0,182.0,0.2,2647.0
15.0,Netherlands,8078976,1104.0,22310.0,3.0,8016910.0,1578.0,39756.0,38.0,469530.0,1297.0,21107399.0,1226710.0,17206513.0,2.0,771.0,1.0,64.0,0.2,2311.0
16.0,Iran,7230589,268.0,141288.0,7.0,7037536.0,1738.0,51765.0,641.0,84053.0,1642.0,52031785.0,604849.0,86024467.0,12.0,609.0,2.0,3.0,0.08,602.0
17.0,Australia,7025763,42759.0,8178.0,68.0,6666522.0,58132.0,351063.0,117.0,269610.0,314.0,71338966.0,2737596.0,26058980.0,4.0,3186.0,0.0,1641.0,3.0,13472.0
18.0,Colombia,6099111,,139833.0,,5930545.0,,28733.0,342.0,117499.0,2694.0,34792844.0,670282.0,51907759.0,9.0,371.0,1.0,,,554.0
19.0,Indonesia,6053109,345.0,156548.0,14.0,5893628.0,288.0,2933.0,2771.0,21697.0,561.0,98271696.0,352242.0,278989294.0,46.0,1782.0,3.0,1.0,0.05,11.0
20.0,Poland,6006014,419.0,116284.0,16.0,5335275.0,23.0,554455.0,981.0,159023.0,3079.0,36296706.0,961036.0,37768292.0,6.0,325.0,1.0,11.0,0.4,14680.0
21.0,Mexico,5759773,1176.0,324768.0,3.0,5054809.0,1315.0,380196.0,4798.0,43803.0,2470.0,15950212.0,121301.0,131492596.0,23.0,405.0,8.0,9.0,0.02,2891.0
22.0,Ukraine,5011433,,108538.0,,,,,177.0,115905.0,2510.0,19521252.0,451490.0,43237412.0,9.0,398.0,2.0,,,19540.0
23.0,Malaysia,4494782,1918.0,35647.0,2.0,4434195.0,2124.0,24940.0,32.0,135591.0,1075.0,59642375.0,1799188.0,33149614.0,7.0,930.0,1.0,58.0,0.06,752.0
24.0,Thailand,4419737,4144.0,29814.0,36.0,4342047.0,7235.0,47876.0,1496.0,63021.0,425.0,17270775.0,246265.0,70130938.0,16.0,2352.0,4.0,59.0,0.5,683.0
25.0,Austria,4237360,2177.0,18607.0,8.0,4177580.0,4269.0,41173.0,57.0,465465.0,2044.0,186711414.0,20509834.0,9103507.0,2.0,489.0,0.0,239.0,0.9,4523.0
26.0,Belgium,4143408,,31710.0,,4001793.0,10913.0,109905.0,92.0,354594.0,2714.0,34011375.0,2910703.0,11684936.0,3.0,368.0,0.0,,,9406.0
27.0,Israel,4127026,3220.0,10833.0,,4098862.0,,17331.0,150.0,442529.0,1162.0,41373364.0,4436346.0,9326000.0,2.0,861.0,0.0,345.0,,1858.0
28.0,Portugal,4066674,,22583.0,,,,,61.0,401031.0,2227.0,42365073.0,4177794.0,10140537.0,2.0,449.0,0.0,,,115173.0
29.0,South Africa,3935761,4227.0,101002.0,50.0,3780159.0,7048.0,54600.0,192.0,64816.0,1663.0,25108084.0,413494.0,60721721.0,15.0,601.0,2.0,70.0,0.8,899.0
30.0,Czechia,3918539,407.0,40275.0,4.0,3876679.0,466.0,1585.0,7.0,364633.0,3748.0,55373597.0,5152699.0,10746522.0,3.0,267.0,0.0,38.0,0.4,147.0
31.0,Canada,3851329,3466.0,40706.0,11.0,3521441.0,4538.0,289182.0,354.0,100380.0,1061.0,61740072.0,1609176.0,38367496.0,10.0,943.0,1.0,90.0,0.3,7537.0
32.0,Philippines,3689281,149.0,60455.0,,3626591.0,185.0,2235.0,480.0,32841.0,538.0,30049904.0,267498.0,112337122.0,30.0,1858.0,4.0,1.0,,20.0
33.0,Chile,3651076,3715.0,57813.0,3.0,3488683.0,2022.0,104580.0,136.0,187945.0,2976.0,38123516.0,1962470.0,19426290.0,5.0,336.0,1.0,191.0,0.2,5383.0
34.0,Switzerland,3650661,924.0,13948.0,,3584757.0,5139.0,51956.0,45.0,416066.0,1590.0,21054092.0,2399538.0,8774226.0,2.0,629.0,0.0,105.0,,5921.0
35.0,Peru,3576640,331.0,213122.0,6.0,,,,184.0,105693.0,6298.0,30481934.0,900773.0,33839763.0,9.0,159.0,1.0,10.0,0.2,48548.0
36.0,Greece,3427857,5624.0,29725.0,14.0,3350883.0,4761.0,47249.0,149.0,331936.0,2878.0,82031870.0,7943536.0,10326871.0,3.0,347.0,0.0,545.0,1.0,4575.0
37.0,Denmark,2981571,728.0,6335.0,5.0,2967321.0,1447.0,7915.0,10.0,511353.0,1086.0,127413056.0,21851930.0,5830746.0,2.0,920.0,0.0,125.0,0.9,1357.0
38.0,DPRK,2948900,134520.0,68.0,,2548590.0,213680.0,400242.0,,113453.0,3.0,,,25992302.0,9.0,382240.0,,5175.0,,15398.0
39.0,Romania,2906776,491.0,65663.0,9.0,,,,101.0,153026.0,3457.0,23065296.0,1214266.0,18995264.0,7.0,289.0,1.0,26.0,0.5,12343.0
40.0,Sweden,2507948,310.0,18944.0,,2480696.0,213.0,8308.0,7.0,245438.0,1854.0,18573144.0,1817641.0,10218267.0,4.0,539.0,1.0,30.0,,813.0
41.0,Iraq,2327486,99.0,25218.0,,2301182.0,121.0,1086.0,9.0,55512.0,601.0,18564995.0,442786.0,41927700.0,18.0,1663.0,2.0,2.0,,26.0
42.0,Serbia,2015711,329.0,16070.0,2.0,1992675.0,,6966.0,9.0,232469.0,1853.0,9665977.0,1114763.0,8670881.0,4.0,540.0,1.0,38.0,0.2,803.0
43.0,Bangladesh,1953298,34.0,29130.0,,1901385.0,228.0,22783.0,1259.0,11641.0,174.0,14094360.0,84000.0,167789957.0,86.0,5760.0,12.0,0.2,,136.0
44.0,Hungary,1914697,,46446.0,,1830803.0,,37448.0,21.0,199157.0,4831.0,11394556.0,1185204.0,9614006.0,5.0,207.0,1.0,,,3895.0
45.0,Slovakia,1788686,196.0,20083.0,2.0,1765454.0,348.0,3149.0,23.0,327320.0,3675.0,7139957.0,1306574.0,5464639.0,3.0,272.0,1.0,36.0,0.4,576.0
46.0,Jordan,1694216,,14048.0,,1678941.0,,1227.0,124.0,162991.0,1351.0,16670254.0,1603750.0,10394545.0,6.0,740.0,1.0,,,118.0
47.0,Georgia,1655221,,16811.0,,1637293.0,,1117.0,,416439.0,4230.0,16920079.0,4256946.0,3974699.0,2.0,236.0,0.0,,,281.0
48.0,Ireland,1551835,,7244.0,,1526175.0,705.0,18416.0,29.0,307781.0,1437.0,12199863.0,2419640.0,5042016.0,3.0,696.0,0.0,,,3653.0
49.0,Pakistan,1529896,62.0,30379.0,,1496123.0,,3394.0,78.0,6681.0,133.0,28475032.0,124347.0,228996173.0,150.0,7538.0,8.0,0.3,,15.0
50.0,Taiwan,1468991,82407.0,1478.0,42.0,200860.0,28325.0,1266653.0,,61469.0,62.0,17371638.0,726901.0,23898230.0,16.0,16169.0,1.0,3448.0,2.0,53002.0
51.0,Norway,1431991,294.0,3094.0,,,,,20.0,260298.0,562.0,11002430.0,1999952.0,5501348.0,4.0,1778.0,1.0,53.0,,243567.0
52.0,Kazakhstan,1305701,4.0,13661.0,,1291885.0,,155.0,24.0,68001.0,711.0,11575012.0,602830.0,19201122.0,15.0,1406.0,2.0,0.2,,8.0
53.0,Singapore,1278113,5727.0,1378.0,1.0,1197084.0,3968.0,79651.0,4.0,215269.0,232.0,23877882.0,4021680.0,5937290.0,5.0,4309.0,0.0,965.0,0.2,13415.0
54.0,Hong Kong,1210836,250.0,9370.0,,,,,5.0,159071.0,1231.0,44972952.0,5908227.0,7611920.0,6.0,812.0,0.0,33.0,,156102.0
55.0,Morocco,1166916,200.0,16075.0,,1149788.0,132.0,1053.0,293.0,30922.0,426.0,11237010.0,297769.0,37737287.0,32.0,2348.0,3.0,5.0,,28.0
56.0,Bulgaria,1163806,100.0,37109.0,3.0,1044586.0,231.0,82111.0,40.0,169908.0,5418.0,9973767.0,1456101.0,6849639.0,6.0,185.0,1.0,15.0,0.4,11988.0
57.0,Croatia,1134541,272.0,15970.0,2.0,1116092.0,410.0,2479.0,5.0,279620.0,3936.0,4863903.0,1198761.0,4057442.0,4.0,254.0,1.0,67.0,0.5,611.0
58.0,New Zealand,1113828,8511.0,1031.0,14.0,1059714.0,9931.0,53083.0,,222672.0,206.0,7161742.0,1431747.0,5002100.0,4.0,4852.0,1.0,1701.0,3.0,10612.0
59.0,Cuba,1105047,31.0,8529.0,,1096218.0,55.0,300.0,23.0,97675.0,754.0,12920253.0,1142016.0,11313553.0,10.0,1326.0,1.0,3.0,,27.0
60.0,Lebanon,1098710,70.0,10420.0,2.0,1085985.0,84.0,2305.0,186.0,162346.0,1540.0,4795578.0,708598.0,6767700.0,6.0,649.0,1.0,10.0,0.3,341.0
61.0,Finland,1081225,,4406.0,,,,,21.0,194570.0,793.0,10873312.0,1956693.0,5556984.0,5.0,1261.0,1.0,,,185500.0
62.0,Lithuania,1061790,231.0,9136.0,1.0,1035405.0,298.0,17249.0,9.0,400591.0,3447.0,9969774.0,3761387.0,2650558.0,2.0,290.0,0.0,87.0,0.4,6508.0
63.0,Tunisia,1042362,573.0,28632.0,4.0,,,,29.0,86486.0,2376.0,4618974.0,383244.0,12052313.0,12.0,421.0,3.0,48.0,0.3,-1080.79
64.0,Slovenia,1023195,579.0,6631.0,1.0,1010440.0,995.0,6124.0,6.0,492044.0,3189.0,2663131.0,1280673.0,2079478.0,2.0,314.0,1.0,278.0,0.5,2945.0
65.0,Belarus,982867,,6978.0,,,,,,104079.0,739.0,13220483.0,1399963.0,9443450.0,10.0,1353.0,1.0,,,5014.0
66.0,Nepal,979087,11.0,11952.0,,967002.0,11.0,133.0,,32499.0,397.0,5689733.0,188858.0,30126986.0,31.0,2521.0,5.0,0.4,,4.0
67.0,Uruguay,916388,1237.0,7227.0,3.0,901555.0,720.0,7606.0,18.0,262089.0,2067.0,6114822.0,1748851.0,3496479.0,4.0,484.0,1.0,354.0,0.9,2175.0
68.0,Bolivia,907465,158.0,21945.0,,866563.0,552.0,18957.0,220.0,75787.0,1833.0,2705422.0,225943.0,11973906.0,13.0,546.0,4.0,13.0,,1583.0
69.0,UAE,905468,317.0,2302.0,,889262.0,323.0,13904.0,,89507.0,228.0,160949601.0,15910063.0,10116214.0,11.0,4395.0,0.0,31.0,,1374.0
70.0,Costa Rica,891038,2238.0,8495.0,5.0,854426.0,973.0,28117.0,45.0,171948.0,1639.0,4575910.0,883035.0,5182023.0,6.0,610.0,1.0,432.0,1.0,5426.0
71.0,Ecuador,874750,31.0,35617.0,,,,,759.0,48197.0,1962.0,2470170.0,136103.0,18149286.0,21.0,510.0,7.0,2.0,,21778.0
72.0,Guatemala,857197,621.0,17991.0,22.0,836451.0,417.0,2755.0,5.0,46231.0,970.0,4617656.0,249041.0,18541738.0,22.0,1031.0,4.0,33.0,1.0,149.0
73.0,Panama,835921,3876.0,8232.0,3.0,800234.0,3032.0,27455.0,16.0,188139.0,1853.0,6156952.0,1385730.0,4443110.0,5.0,540.0,1.0,872.0,0.7,6179.0
74.0,Latvia,827437,236.0,5817.0,2.0,819134.0,289.0,2486.0,7.0,448035.0,3150.0,7244739.0,3922835.0,1846812.0,2.0,317.0,0.0,128.0,1.0,1346.0
75.0,Azerbaijan,792714,,9710.0,,782957.0,,47.0,,76874.0,942.0,6874348.0,666644.0,10311877.0,13.0,1062.0,2.0,,,5.0
76.0,Saudi Arabia,764249,557.0,9134.0,3.0,748571.0,541.0,6544.0,81.0,21325.0,255.0,42384395.0,1182655.0,35838346.0,47.0,3924.0,1.0,16.0,0.08,183.0
77.0,Sri Lanka,663779,14.0,16513.0,1.0,646941.0,2.0,325.0,,30755.0,765.0,6486117.0,300521.0,21582910.0,33.0,1307.0,3.0,0.6,0.05,15.0
78.0,Paraguay,650283,,18885.0,,624673.0,,6725.0,4.0,89103.0,2588.0,2633737.0,360880.0,7298098.0,11.0,386.0,3.0,,,921.0
79.0,Kuwait,632781,,2555.0,,629695.0,,531.0,4.0,144144.0,582.0,8098920.0,1844893.0,4389913.0,7.0,1718.0,1.0,,,121.0
80.0,Myanmar,613238,11.0,19434.0,,592221.0,32.0,1583.0,,11130.0,353.0,8154072.0,147989.0,55099083.0,90.0,2835.0,7.0,0.2,,29.0
81.0,Palestine,582363,,5356.0,,576879.0,,128.0,17.0,109355.0,1006.0,3078533.0,578079.0,5325451.0,9.0,994.0,2.0,,,24.0
82.0,Bahrain,582287,421.0,1484.0,1.0,576645.0,569.0,4158.0,3.0,321123.0,818.0,9823137.0,5417319.0,1813284.0,3.0,1222.0,0.0,232.0,0.6,2293.0
83.0,Dominican Republic,581647,183.0,4377.0,,576469.0,61.0,801.0,6.0,52621.0,396.0,3327063.0,300997.0,11053480.0,19.0,2525.0,3.0,17.0,,72.0
84.0,Estonia,576047,953.0,2561.0,,518188.0,1600.0,55298.0,6.0,433698.0,1928.0,3368271.0,2535927.0,1328221.0,2.0,519.0,0.0,718.0,,41633.0
85.0,Venezuela,523411,34.0,5717.0,1.0,516588.0,32.0,1106.0,230.0,18506.0,202.0,3359014.0,118761.0,28283717.0,54.0,4947.0,8.0,1.0,0.04,39.0
86.0,Moldova,518793,1040.0,11521.0,18.0,504142.0,,3130.0,49.0,129174.0,2869.0,3216305.0,800823.0,4016249.0,8.0,349.0,1.0,259.0,4.0,779.0
87.0,Egypt,515645,,24613.0,,442182.0,,48850.0,122.0,4865.0,232.0,3693367.0,34849.0,105981201.0,206.0,4306.0,29.0,,,461.0
88.0,Libya,501904,,6430.0,,490973.0,,4501.0,101.0,71214.0,912.0,2477219.0,351486.0,7047854.0,14.0,1096.0,3.0,,,639.0
89.0,Cyprus,477711,,1032.0,,124370.0,,352309.0,60.0,390297.0,843.0,9477138.0,7742962.0,1223968.0,3.0,1186.0,0.0,,,287842.0
90.0,Ethiopia,471527,104.0,7512.0,,455819.0,4.0,8196.0,10.0,3918.0,62.0,4876904.0,40525.0,120343151.0,255.0,16020.0,25.0,0.9,,68.0
91.0,Mongolia,469885,,2179.0,,313256.0,,154450.0,192.0,139100.0,645.0,4030048.0,1193012.0,3378044.0,7.0,1550.0,1.0,,,45722.0
92.0,Honduras,424859,,10896.0,,132401.0,,281562.0,105.0,41644.0,1068.0,1372779.0,134556.0,10202266.0,24.0,936.0,7.0,,,27598.0
93.0,Armenia,422939,,8624.0,,412240.0,,2075.0,,142226.0,2900.0,3089295.0,1038869.0,2973709.0,7.0,345.0,1.0,,,698.0
