#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/ 1M pop,Population,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
115.0,Maldives,179662,102.0,298.0,,163687.0,,15677.0,25.0,321683.0,534.0,2213831.0,3963845.0,558506.0,3.0,1874.0,0.0,183.0,,28070.0
116.0,Namibia,164953,103.0,4033.0,1.0,157953.0,138.0,2967.0,,62774.0,1535.0,1030613.0,392208.0,2627723.0,16.0,652.0,3.0,39.0,0.4,1129.0
117.0,Martinique,164411,,931.0,,104.0,,163376.0,8.0,438762.0,2485.0,828928.0,2212150.0,374716.0,2.0,402.0,0.0,,,436000.0
118.0,Uganda,164069,,3596.0,,100205.0,,60268.0,2.0,3385.0,74.0,2612795.0,53910.0,48465516.0,295.0,13478.0,19.0,,,1244.0
119.0,El Salvador,162089,,4131.0,1.0,150662.0,,7296.0,8.0,24754.0,631.0,1950448.0,297871.0,6547961.0,40.0,1585.0,3.0,,0.2,1114.0
120.0,Ghana,161351,,1445.0,,159865.0,,41.0,1.0,4996.0,45.0,2447185.0,75772.0,32296599.0,200.0,22351.0,13.0,,,1.0
121.0,Trinidad and Tobago,158668,443.0,3895.0,2.0,145462.0,659.0,9311.0,18.0,112687.0,2766.0,738081.0,524191.0,1408039.0,9.0,361.0,2.0,315.0,1.0,6613.0
122.0,Brunei,146775,269.0,222.0,1.0,144943.0,271.0,1610.0,,329547.0,498.0,717784.0,1611607.0,445384.0,3.0,2006.0,1.0,604.0,2.0,3615.0
123.0,Guadeloupe,140130,,854.0,,2250.0,,137026.0,19.0,350104.0,2134.0,938039.0,2343615.0,400253.0,3.0,469.0,0.0,,,342348.0
124.0,Cambodia,136262,,3056.0,,133201.0,,5.0,,7943.0,178.0,2964585.0,172806.0,17155558.0,126.0,5614.0,6.0,,,0.3
125.0,Jamaica,134660,,3032.0,,86045.0,,45583.0,,45104.0,1016.0,1055693.0,353600.0,2985555.0,22.0,985.0,3.0,,,15268.0
126.0,Rwanda,129988,10.0,1459.0,,45522.0,,83007.0,,9588.0,108.0,5390797.0,397614.0,13557875.0,104.0,9293.0,3.0,0.7,,6122.0
127.0,Cameroon,119780,,1927.0,,117791.0,,62.0,13.0,4310.0,69.0,1751774.0,63031.0,27792352.0,232.0,14423.0,16.0,,,2.0
